"OPTZ_PLN_ID","WORK_DATE","WORK_CLSF","OPTZ_JIG_CODE","JIG_CODE","PROJ_NO","BLK_NO","WSTG_CODE","WORK_STUS_CODE"
"2539_20250918_3W_C03_NPS_3BAY_04","20251002","B","J06AJ06BJ06CJ06DJ08AJ08B","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251002","B","J06AJ06BJ06CJ06DJ08AJ08B","J06B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251002","B","J06AJ06BJ06CJ06DJ08AJ08B","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","B","J03D","J03D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250927","N","J04AJ04BJ04CJ04DJ41AJ41B","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250927","N","J04AJ04BJ04CJ04DJ41AJ41B","J04A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250927","N","J04AJ04BJ04CJ04DJ41AJ41B","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J09A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250927","N","J04AJ04BJ04CJ04DJ41AJ41B","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","N","J07AJ07BJ07CJ07DJ09AJ09B","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250922","B","J41C","J41C","2593","113","G8G9","S"
"2539_20250918_3W_C03_NPS_3BAY_04","20250923","B","J09D","J09D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J05B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J05C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","N","J02D","J02D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J05D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J01B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J06B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J05A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250929","N","J10A","J10A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251029","B","J10A","J10A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251007","B","J04C","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J02A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J06AJ06BJ06CJ06DJ08AJ08B","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J02D","","","",""
