"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1","1","32.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J06A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J01AJ01BJ01CJ01DJ03AJ03B","1","1","18.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","629","H2G9","J10AJ10BJ10CJ10DJ09BJ09C","1","1","13.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","193","G9G9","J05CJ05DJ07AJ07BJ07CJ07D","1","1","25.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J08AJ08BJ08CJ08DJ07BJ07C","1","1","10.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J02D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J02C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1","1","34.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J02B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","193","R1G9","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1","1","41.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J02A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","41.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J08AJ08BJ08CJ08DJ10AJ10B","1","1","32.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","1","1","33.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","183","R1G9","J08AJ08BJ08CJ08DJ10AJ10B","1","1","32.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1","1","40.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","824","R1G9","J08AJ08DJ07AJ07BJ07CJ07D","1","1","20.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J08AJ08BJ08CJ08DJ10AJ10B","1","1","23.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1","1","30.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","183","R1G9","J06CJ06DJ08AJ08BJ08CJ08D","1","1","31.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J03D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J03C","1","0","99999.9","0"
