"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","J10CJ11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H6G9","J11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J02A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J08AJ08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J10A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J08AJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J10D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J10B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J06BJ06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","183","R1G9","J11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J06AJ06B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J06AJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J04A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J04B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J04C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J11A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J11AJ11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J11AJ11B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J09AJ09BJ09CJ09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J11A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J11B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J11B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J09AJ09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J11C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J11D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","629","H2G9","J11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","183","R1G9","J02CJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","J03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J11AJ11B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H6G9","J11AJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","H6G9","J10CJ11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J09AJ09BJ09CJ09D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J05A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H4H6","J06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J05B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J05C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","H2G9","J05D","1"
